system_time,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_total_vehicles
414.7,45,509.7000000000001,1.549240121580547,9.60705588180587,329
414.8,45,514.1999999999999,1.5629179331306993,9.613021173459865,329
414.9,45,518.6999999999999,1.5765957446808512,9.626994140822815,329
415.0,45,523.2,1.5951219512195123,9.620832928508563,328
415.1,45,527.6999999999999,1.6137614678899084,9.611862641854351,327
415.2,45,532.2,1.6275229357798162,9.619501978550883,327
415.3,45,536.7,1.6463190184049081,9.611480167412275,326
415.4,45,541.1999999999999,1.6601226993865033,9.615265350412692,326
415.5,45,545.7,1.6739263803680984,9.623430455626314,326
415.6,45,550.1999999999999,1.692923076923077,9.614410884343535,325
415.7,45,554.7,1.7120370370370372,9.606484894962406,324
415.8,45,559.1999999999999,1.725925925925926,9.609592000024339,324
415.9,45,563.7,1.739814814814815,9.61522894021409,324
416.0,45,568.1999999999999,1.7591331269349846,9.603679820082533,323
416.1,45,572.6999999999999,1.756748466257669,9.645032294438646,326
416.2,45,577.2,1.7760000000000002,9.640072952074844,325
416.3,45,581.7,1.789846153846154,9.641469607996102,325
416.4,45,586.2,1.803692307692308,9.645287601696596,325
416.5,45,590.7,1.8231481481481482,9.632012480516073,324
416.6,45,595.1999999999999,1.8427244582043345,9.624246039524277,323
416.7,46,599.8,1.8569659442724458,9.629116853413683,323
416.8,46,604.4000000000001,1.8712074303405568,9.63317678305094,323
416.9,46,608.9999999999999,1.8854489164086687,9.638680074783787,323
417.0,46,613.6,1.8996904024767802,9.637326014355812,323
417.1,48,618.4000000000001,1.9264797507788165,9.609655763795109,321
417.2,49,623.3000000000001,1.9417445482866043,9.612115244598224,321
417.3,49,628.2,1.9570093457943922,9.614732766956159,321
417.4,49,633.0999999999999,1.9722741433021806,9.61567303263617,321
417.5,49,637.9999999999999,2.006289308176101,9.581561464057394,318
417.6,49,642.9000000000001,2.0216981132075476,9.583711474527473,318
417.7,49,647.8000000000001,2.043533123028391,9.570801969725105,317
417.8,49,652.7,2.0589905362776024,9.573483900069268,317
417.9,49,657.6,2.0744479495268138,9.577801234204482,317
418.0,49,662.4999999999998,2.089905362776025,9.585701860540347,317
418.1,49,667.4000000000001,2.079127725856698,9.62791861595069,321
418.2,50,672.4,2.10125,9.622453356999848,320
418.3,50,677.4000000000001,2.1168750000000003,9.62303393610028,320
418.4,50,682.4,2.1325000000000003,9.62877447374859,320
418.5,50,687.3999999999997,2.148125,9.635719424090649,320
418.6,50,692.4000000000002,2.1637500000000003,9.639006123546853,320
418.7,50,697.4,2.1862068965517243,9.634762701270242,319
418.8,50,702.4000000000001,2.201880877742947,9.64094013198228,319
418.9,50,707.4000000000001,2.2245283018867927,9.624427539237912,318
419.0,50,712.3999999999997,2.2473186119873816,9.61314548954455,317
419.1,50,717.4000000000002,2.270253164556962,9.602378628951545,316
419.2,50,722.4,2.2860759493670884,9.608499421496514,316
419.3,50,727.4,2.3092063492063497,9.602588708745913,315
419.4,50,732.4000000000001,2.332484076433121,9.586168213636919,314
419.5,50,737.3999999999997,2.3484076433121017,9.587358470718899,314
419.6,50,742.4000000000003,2.3718849840255594,9.571656475067181,313
419.7,50,747.4,2.3878594249201277,9.57332051740388,313
419.8,50,752.4,2.403833865814697,9.577204365656169,313
419.9,50,757.4000000000002,2.4198083067092653,9.573638436423103,313
420.0,50,762.3999999999996,2.4357827476038336,9.577989924290526,313
420.1,50,767.4000000000002,2.3981250000000003,9.673279931273076,320
420.2,50,772.3999999999999,2.421316614420063,9.650966070586628,319
420.3,50,777.4,2.4369905956112854,9.65228917874681,319
420.4,50,782.4000000000001,2.452664576802508,9.65527045320738,319
420.5,50,787.3999999999996,2.4761006289308174,9.643123805684631,318
420.6,50,792.4000000000002,2.4918238993710693,9.64779075280267,318
420.7,50,797.3999999999999,2.507547169811321,9.649486548497299,318
420.8,50,802.4000000000001,2.523270440251572,9.649153492912033,318
