,system_time,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,phase_i_cr30_101,phase_i_cr30_gln,phase_i_cr30_lln,phase_i_cr30_tln
285,285.0,101,7282.0,43.86746987951807,3.9059369596222195,13,10,53,2
286,286.0,99,7361.0,44.07784431137725,4.044711611623478,12,10,53,2
287,287.0,99,7444.0,44.5748502994012,4.242643757364144,12,10,53,2
288,288.0,99,7529.0,45.355421686746986,4.274109426973056,12,10,53,2
289,289.0,100,7613.0,45.58682634730539,4.421446983108729,11,10,53,2
290,290.0,98,7696.0,46.36144578313253,4.515731320395902,10,10,53,2
291,291.0,98,7781.0,46.59281437125748,4.630133675694804,9,11,53,2
292,292.0,97,7865.0,46.81547619047619,4.69139870129966,8,10,53,2
293,293.0,103,7955.0,47.351190476190474,4.710045515844172,7,10,54,4
294,294.0,102,8044.0,47.59763313609467,4.8414993528339805,6,11,55,4
295,295.0,103,8131.0,47.27325581395349,4.894332211408579,5,11,54,5
296,296.0,100,8220.0,47.7906976744186,5.114642880027331,4,11,54,4
297,297.0,99,8266.0,48.33918128654971,5.034779126003067,2,11,54,4
298,298.0,102,8366.0,48.358381502890175,5.0372733151475115,2,11,54,5
299,299.0,102,8456.0,48.59770114942529,5.0103943934569655,2,11,54,4
300,300.0,100,8545.0,49.10919540229885,5.0412675176424075,2,11,54,4
301,301.0,105,8640.0,49.371428571428574,4.82994709360234,2,12,54,4
302,302.0,104,8736.0,49.63636363636363,4.763321727332535,3,12,54,4
303,303.0,107,8776.0,49.86363636363637,4.644834881540903,4,13,54,3
304,304.0,107,8818.0,50.38857142857143,4.368287439953603,5,13,54,2
305,305.0,106,8905.0,50.59659090909091,4.404252041587076,5,13,55,1
306,306.0,106,8985.0,50.76271186440678,4.484814718469578,5,13,55,1
307,307.0,106,9084.0,51.90857142857143,4.120269871949647,5,13,55,1
308,308.0,106,9183.0,52.775862068965516,4.091412407631244,6,13,55,1
309,309.0,108,9284.0,53.05142857142857,4.055352031108132,6,13,55,2
310,310.0,110,9387.0,53.33522727272727,4.0757079986150995,7,13,55,3
311,311.0,112,9493.0,53.331460674157306,4.077104340291202,8,13,55,3
