edges_version;location_convBoundary;location_netOffset;location_origBoundary;location_projParameter;edge_from;edge_id;edge_length;edge_numLanes;edge_priority;edge_speed;edge_to;edge_shape;edge_spreadType;edge_disallow;edge_name;edge_type;lane_index;param_key;param_value
1.20;;;;;gneJ2;CR30_RL_6from5;;2;11;22.35;ncr30_rl_4;10305.79,1324.70 10251.22,1356.71 10219.68,1376.28;center;tram rail_urban rail rail_electric rail_fast ship cable_car subway;County Road 30;highway.secondary;0;origId;760579296
1.20;;;;;gneJ2;CR30_RL_6from5;;2;11;22.35;ncr30_rl_4;10305.79,1324.70 10251.22,1356.71 10219.68,1376.28;center;tram rail_urban rail rail_electric rail_fast ship cable_car subway;County Road 30;highway.secondary;1;origId;760579296
1.20;;;;;i_cr30_pln;CR30_RL_7;;2;11;22.35;ncr30_rl_5;10119.39,1438.16 9879.41,1585.43 9846.63,1601.23 9816.10,1612.71 9784.81,1618.81 9764.02,1620.19 9747.99,1620.48 9739.51,1620.67 9697.66,1622.44;center;tram rail_urban rail rail_electric rail_fast ship cable_car subway;County Road 30;highway.secondary;0;origId;756857197
1.20;;;;;i_cr30_pln;CR30_RL_7;;2;11;22.35;ncr30_rl_5;10119.39,1438.16 9879.41,1585.43 9846.63,1601.23 9816.10,1612.71 9784.81,1618.81 9764.02,1620.19 9747.99,1620.48 9739.51,1620.67 9697.66,1622.44;center;tram rail_urban rail rail_electric rail_fast ship cable_car subway;County Road 30;highway.secondary;1;origId;756857197
1.20;;;;;ncr30_rl_5;CR30_RL_8;100.00;3;11;22.35;i_cr30_tln;9697.66,1622.44 9681.97,1623.25 9667.77,1623.41 9647.20,1623.78 9602.46,1624.69 9593.68,1624.57;center;tram rail_urban rail rail_electric rail_fast ship cable_car subway;County Road 30;highway.secondary;0;origId;756857197
1.20;;;;;ncr30_rl_5;CR30_RL_8;100.00;3;11;22.35;i_cr30_tln;9697.66,1622.44 9681.97,1623.25 9667.77,1623.41 9647.20,1623.78 9602.46,1624.69 9593.68,1624.57;center;tram rail_urban rail rail_electric rail_fast ship cable_car subway;County Road 30;highway.secondary;1;origId;756857197
1.20;;;;;ncr30_rl_5;CR30_RL_8;100.00;3;11;22.35;i_cr30_tln;9697.66,1622.44 9681.97,1623.25 9667.77,1623.41 9647.20,1623.78 9602.46,1624.69 9593.68,1624.57;center;tram rail_urban rail rail_electric rail_fast ship cable_car subway;County Road 30;highway.secondary;2;origId;756857197
1.20;;;;;i_cr30_tln;CR30_RL_9;175.00;2;11;22.35;ncr30_rl_6;9584.96,1623.57 9492.62,1624.62 9443.26,1623.96 9434.97,1624.14 9404.75,1623.19;center;tram rail_urban rail rail_electric rail_fast ship cable_car subway;County Road 30;highway.secondary;0;origId;756857197
1.20;;;;;i_cr30_tln;CR30_RL_9;175.00;2;11;22.35;ncr30_rl_6;9584.96,1623.57 9492.62,1624.62 9443.26,1623.96 9434.97,1624.14 9404.75,1623.19;center;tram rail_urban rail rail_electric rail_fast ship cable_car subway;County Road 30;highway.secondary;1;origId;756857197
1.20;;;;;ngln_du_1;GLN_DU_1;;2;3;13.41;ngln_du_2;;center;tram rail_urban rail rail_electric rail_fast ship cable_car subway;Garland Lane North;highway.residential;0;origId;243595604
1.20;;;;;ngln_du_1;GLN_DU_1;;2;3;13.41;ngln_du_2;;center;tram rail_urban rail rail_electric rail_fast ship cable_car subway;Garland Lane North;highway.residential;1;origId;243595604
1.20;;;;;ngln_du_2;GLN_DU_2;100.00;3;-1;13.41;i_cr30_gln;11023.59,1076.21 11025.08,1176.34;center;;;;;;
1.20;;;;;i_cr30_gln;GLN_DU_3;135.00;1;3;13.41;gneJ6;11023.25,1208.41 11024.52,1356.67;center;tram rail_urban rail rail_electric rail_fast ship cable_car subway;Garland Lane North;highway.residential;0;origId;243595604
1.20;;;;;gneJ6;GLN_DU_4;;1;3;13.41;ngln_du_3;;center;tram rail_urban rail rail_electric rail_fast ship cable_car subway;Garland Lane North;highway.residential;0;origId;243595604
1.20;;;;;ngln_ud_1;GLN_UD_1;;2;-1;13.41;ngln_ud_2;11017.40,1452.62 11015.15,1313.78 11016.95,1309.82;center;;;;;;
