system_time,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed
78.0,120,857.0,1.9792147806004619,5.24481758802648
79.0,121,903.0,2.066361556064073,5.234651090089543
80.0,116,891.0,2.025,5.217236282513365
81.0,117,866.0,1.9417040358744395,5.240274452534179
82.0,115,821.0,1.844943820224719,5.247862651021011
83.0,115,827.0,1.82560706401766,5.401585358946979
84.0,111,814.0,1.8008849557522124,5.44725269042539
85.0,113,846.0,1.8351409978308026,5.58522102793281
86.0,108,885.0,1.9155844155844155,5.652984996365752
87.0,111,902.0,1.9232409381663114,5.682835202580975
88.0,112,924.0,1.9617834394904459,5.603055308094008
89.0,119,995.0,2.094736842105263,5.623220083579359
90.0,128,1079.0,2.2763713080168775,5.435636620869975
91.0,132,1149.0,2.403765690376569,5.491525880798855
92.0,139,1193.0,2.490605427974948,5.400494817607231
93.0,146,1253.0,2.5942028985507246,5.39366091311184
94.0,147,1283.0,2.6618257261410787,5.304622007969403
95.0,148,1317.0,2.732365145228216,5.2514728420211965
96.0,158,1375.0,2.8705636743215033,5.182863384125747
97.0,161,1397.0,2.910416666666667,5.163699698766602
98.0,166,1455.0,3.0249480249480247,5.139135543443421
99.0,162,1511.0,3.1479166666666667,5.184646299386234
100.0,164,1536.0,3.2066805845511483,5.137784726473085
101.0,166,1572.0,3.275,5.116803907661858
102.0,158,1542.0,3.2394957983193278,5.1350981998943706
103.0,159,1508.0,3.1482254697286014,5.224784588219148
104.0,162,1500.0,3.1446540880503147,5.2693882693815
105.0,158,1504.0,3.1333333333333333,5.350990713055614
106.0,163,1525.0,3.19706498951782,5.316883124325961
107.0,164,1548.0,3.1983471074380163,5.32723763805035
108.0,161,1483.0,3.0640495867768593,5.2182772369350205
109.0,160,1409.0,2.869653767820774,5.2038591847185405
110.0,160,1350.0,2.7607361963190185,5.112946450030951
111.0,159,1333.0,2.676706827309237,5.1144280962589495
112.0,160,1297.0,2.604417670682731,5.08774569968356
113.0,155,1261.0,2.522,5.095242008021918
114.0,153,1240.0,2.4701195219123506,5.075619850775998
115.0,153,1250.0,2.4703557312252964,5.075295198139014
116.0,157,1232.0,2.4493041749502984,5.002906900713336
117.0,158,1252.0,2.454901960784314,5.086062837760337
118.0,168,1300.0,2.5540275049115913,5.018959914410861
119.0,170,1349.0,2.634765625,5.041562273973106
120.0,174,1384.0,2.692607003891051,5.015657414778015
121.0,172,1422.0,2.7346153846153847,5.023305494857624
122.0,181,1497.0,2.884393063583815,4.888343430914263
123.0,181,1523.0,2.917624521072797,4.811745477070405
124.0,176,1528.0,2.9104761904761904,4.6775601107536335
125.0,179,1560.0,2.948960302457467,4.655499658942582
126.0,188,1611.0,3.0511363636363638,4.587442054297005
127.0,185,1631.0,3.0657894736842106,4.583854194087931
128.0,189,1651.0,3.0917602996254683,4.5756614746291175
129.0,190,1681.0,3.12453531598513,4.643492299555647
130.0,188,1683.0,3.122448979591837,4.658516324440881
131.0,183,1657.0,3.0685185185185184,4.7275419487555626
132.0,185,1661.0,3.075925925925926,4.71201767358552
133.0,184,1672.0,3.090573012939002,4.7328914646667455
134.0,186,1731.0,3.1937269372693726,4.697975941408032
135.0,189,1792.0,3.300184162062615,4.743073406781984
136.0,190,1820.0,3.3394495412844036,4.6674107540331775
137.0,193,1795.0,3.2875457875457874,4.656260901645059
138.0,196,1795.0,3.305709023941068,4.624426212092435
139.0,200,1784.0,3.273394495412844,4.558295687843417
140.0,199,1733.0,3.1856617647058822,4.488141363974129
141.0,200,1753.0,3.2224264705882355,4.533275256215773
142.0,202,1743.0,3.22181146025878,4.549928606540721
143.0,204,1782.0,3.275735294117647,4.668256002837614
144.0,204,1834.0,3.3837638376383765,4.64590909956151
145.0,210,1902.0,3.489908256880734,4.705819642145943
146.0,212,1967.0,3.629151291512915,4.713463259140921
147.0,216,2064.0,3.78021978021978,4.720427963835866
148.0,214,2064.0,3.8011049723756907,4.66321678324303
149.0,204,2083.0,3.8150183150183152,4.7157995822636645
150.0,204,2131.0,3.9244935543278086,4.690845398469683
151.0,205,2144.0,3.9484346224677718,4.686315631047813
152.0,205,2149.0,3.957642725598527,4.732212675582436
153.0,202,2120.0,3.918669131238447,4.776896485921485
154.0,195,2081.0,3.846580406654344,4.770868411054971
155.0,192,2084.0,3.859259259259259,4.764246261473827
156.0,188,2025.0,3.736162361623616,4.757072779741169
157.0,185,2001.0,3.671559633027523,4.817925448785824
158.0,187,1986.0,3.650735294117647,4.801793939168789
159.0,187,1987.0,3.625912408759124,4.913212321732013
160.0,179,1944.0,3.5474452554744524,4.889591276035308
161.0,182,1852.0,3.367272727272727,4.943276007159143
162.0,180,1806.0,3.3016453382084094,4.916258182324401
163.0,183,1836.0,3.3321234119782215,4.935301730363765
164.0,186,1800.0,3.266787658802178,4.892871905519098
165.0,189,1804.0,3.28,4.773087543475821
166.0,191,1812.0,3.288566243194192,4.692610823504747
167.0,190,1765.0,3.2032667876588024,4.555684830633406
168.0,192,1670.0,3.0144404332129966,4.400144910238004
169.0,191,1584.0,2.8489208633093526,4.37944492778596
170.0,194,1617.0,2.9135135135135135,4.309933303267479
171.0,197,1644.0,2.9568345323741005,4.308882894286091
172.0,204,1656.0,2.983783783783784,4.326819985150636
173.0,212,1731.0,3.1077199281867145,4.389468038644308
174.0,215,1779.0,3.2054054054054055,4.3525233897147775
175.0,221,1814.0,3.262589928057554,4.349659746905473
176.0,220,1768.0,3.1741472172351886,4.299813227153134
177.0,215,1761.0,3.1446428571428573,4.314683605579585
178.0,215,1757.0,3.154398563734291,4.267260880577506
179.0,210,1731.0,3.080071174377224,4.31595949885992
180.0,211,1730.0,3.0892857142857144,4.2698745872661075
181.0,208,1771.0,3.1512455516014235,4.320989895943459
182.0,208,1825.0,3.2473309608540926,4.283471783676787
183.0,206,1876.0,3.326241134751773,4.313728220950855
184.0,209,1917.0,3.398936170212766,4.387373475347936
185.0,211,1975.0,3.50177304964539,4.5179504404833715
186.0,208,2007.0,3.5396825396825395,4.626936982581955
187.0,210,2059.0,3.637809187279152,4.683112206244551
188.0,208,2083.0,3.6672535211267605,4.6935214309398
189.0,211,2081.0,3.650877192982456,4.668453771335781
190.0,211,2100.0,3.6906854130052724,4.600998440478122
191.0,218,2158.0,3.7859649122807015,4.573322630846753
192.0,220,2160.0,3.8162544169611308,4.4278774324558885
193.0,223,2249.0,3.9664902998236333,4.381035123783431
194.0,221,2190.0,3.8898756660746003,4.214938302440953
195.0,214,2090.0,3.7056737588652484,4.180588307115955
196.0,211,2003.0,3.5577264653641207,4.093753319701304
197.0,208,1939.0,3.4379432624113475,4.153315952040248
198.0,214,1936.0,3.4448398576512456,4.168992957981191
199.0,214,1937.0,3.4343971631205674,4.2802975346992085
200.0,215,1928.0,3.442857142857143,4.31536737874952
201.0,223,1948.0,3.4723707664884134,4.4287428150012325
202.0,219,2004.0,3.584973166368515,4.4721965496291896
203.0,219,2054.0,3.6678571428571427,4.602190304334301
204.0,216,2097.0,3.7715827338129495,4.603545799330343
205.0,207,2058.0,3.6947935368043088,4.674690511913968
206.0,200,2007.0,3.616216216216216,4.702998536508514
207.0,189,1934.0,3.490974729241877,4.759947265512584
208.0,188,1948.0,3.5162454873646207,4.738891364256366
209.0,184,1973.0,3.5613718411552346,4.776394409161789
210.0,184,2059.0,3.7233273056057867,4.764089080314494
211.0,184,2117.0,3.8075539568345325,4.802304781141735
212.0,189,2159.0,3.869175627240143,4.766000588408695
213.0,189,2214.0,3.9535714285714287,4.781140925391377
214.0,194,2262.0,4.061041292639138,4.635670688254511
